line_id,value_date,narration,utr,credit,debit,balance
LINE_000001,2026-06-03,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-HDFCN26O6O3OOOOI-SETTLEMENT,,7085432,0,57085432
LINE_000021,2026-06-04,DR-VENDOR PAYOUT-AWS INDIA,,0,4442900,52642532
LINE_000030,2026-06-05,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-HDFCN26060400002-CONSOLIDATED,HDFCN26060400002,45204980,0,97847512
LINE_000004,2026-06-08,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-HDFCN26060800004-SETTLEMENT,HDFCN26060800004,74201868,0,172049380
LINE_000005,2026-06-09,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-HDFCN26060900005-SETTLEMENT,HDFCN26060900005,21005784,0,193055164
LINE_000025,2026-06-09,DR-GST PAYMENT CHALLAN,,0,4712800,188342364
LINE_000026,2026-06-09,DR-VENDOR PAYOUT-AWS INDIA,,0,6955000,181387364
LINE_000006,2026-06-10,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-HDFCN26061000006-SETTLEMENT,HDFCN26061000006,24071180,0,205458544
LINE_000007,2026-06-11,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-HDFCN26061100007-SETTLEMENT,HDFCN26061100007,10476616,0,215935160
LINE_000008,2026-06-12,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-HDFCN26061200008-SETTLEMENT,HDFCN26061200008,23005789,0,238940949
LINE_000024,2026-06-12,DR-SALARY DISBURSEMENT BATCH,,0,80410600,158530349
LINE_000028,2026-06-12,DR-BANK CHARGES-NEFT,,0,23800,158506549
LINE_000009,2026-06-15,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-HDFCN26O6I5OOOO9-SETTLEMENT,,114627111,0,273133660
LINE_000010,2026-06-16,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-HDFCN26061600010-SETTLEMENT,HDFCN26061600010,27471658,0,300605318
LINE_000027,2026-06-17,DR-GST PAYMENT CHALLAN,,0,5140500,295464818
LINE_000036,2026-06-17,NEFT CR-ICIC0004567-S KUMAR-INV SETTLEMENT-ICICN26061775230,,38973000,0,334437818
LINE_000029,2026-06-18,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-HDFCN26061700011-CONSOLIDATED,HDFCN26061700011,35060729,0,369498547
LINE_000035,2026-06-18,NEFT CR-ICIC0004567-ACME RETAIL LLP-INV SETTLEMENT-ICICN26061861455,,24304400,0,393802947
LINE_000031,2026-06-19,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-HDFCN26061900013-SETTLEMENT PART 1/2,HDFCN26061900013,6065787,0,399868734
LINE_000032,2026-06-20,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-HDFCN26061900013-SETTLEMENT PART 2/2,HDFCN26061900013,4170831,0,404039565
LINE_000014,2026-06-22,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-HDFCN26062200014-SETTLEMENT,HDFCN26062200014,58698403,0,462737968
LINE_000015,2026-06-23,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-HDFCN26062300015-SETTLEMENT,HDFCN26062300015,9417707,0,472155675
LINE_000023,2026-06-23,DR-GST PAYMENT CHALLAN,,0,7319200,464836475
LINE_000016,2026-06-24,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-HDFCN26062400016-SETTLEMENT,HDFCN26062400016,15502407,0,480338882
LINE_000017,2026-06-26,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-HDFCN26062600017-SETTLEMENT,HDFCN26062600017,44224165,0,524563047
LINE_000018,2026-06-29,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-HDFCN26062900018-SETTLEMENT,HDFCN26062900018,80321262,0,604884309
LINE_000022,2026-06-29,DR-VENDOR PAYOUT-AWS INDIA,,0,13311400,591572909
LINE_000019,2026-06-30,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-HDFCN26063000019-SETTLEMENT,HDFCN26063000019,20567231,0,612140140
LINE_000033,2026-07-01,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-HDFCN26070100020-SETTLEMENT PART 1/2,HDFCN26070100020,9758668,0,621898808
LINE_000034,2026-07-02,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-HDFCN26070100020-SETTLEMENT PART 2/2,HDFCN26070100020,8317730,0,630216538
