entry_id,entry_type,order_id,payment_id,method,gross,fee,tax,net,settlement_id,created_at,settled_at,narration
ENT_000001,payment,ORD_000152,PAY_000001,upi,125800,0,0,125800,STL_0001,2026-06-01T08:03:13,2026-06-03,
ENT_000002,payment,ORD_000085,PAY_000002,card,172200,3444,620,168136,STL_0001,2026-06-01T08:47:45,2026-06-03,
ENT_000594,payment,ORD_000085,PAY_000480,card,172200,3444,620,168136,STL_0001,2026-06-01T08:49:10,2026-06-03,
ENT_000003,payment,ORD_000109,PAY_000003,upi,429100,0,0,429100,STL_0001,2026-06-01T11:05:26,2026-06-03,
ENT_000004,payment,ORD_000270,PAY_000004,card,366800,7336,1320,358144,STL_0001,2026-06-01T12:50:45,2026-06-03,
ENT_000005,payment,ORD_000350,PAY_000005,upi,492000,0,0,492000,STL_0001,2026-06-01T15:22:02,2026-06-03,
ENT_000006,payment,ORD_000173,PAY_000006,upi,2359300,0,0,2359300,STL_0001,2026-06-01T16:04:21,2026-06-03,
ENT_000007,payment,ORD_000220,PAY_000007,netbanking,3039500,57751,10395,2971354,STL_0001,2026-06-01T21:20:58,2026-06-03,
ENT_000008,payment,ORD_000440,PAY_000008,netbanking,134100,2548,459,131093,STL_0001,2026-06-01T22:19:06,2026-06-03,
ENT_000009,payment,ORD_000370,PAY_000009,card,441400,8828,1589,430983,STL_0001,2026-06-01T23:26:30,2026-06-03,
ENT_000010,payment,ORD_000376,PAY_000010,netbanking,743700,14130,2543,727027,STL_0002,2026-06-02T00:11:02,2026-06-04,
ENT_000011,payment,ORD_000491,PAY_000011,netbanking,107700,2046,368,105286,STL_0002,2026-06-02T06:33:24,2026-06-04,
ENT_000012,payment,ORD_000080,PAY_000012,card,129500,2590,466,126444,STL_0002,2026-06-02T06:59:06,2026-06-04,
ENT_000013,payment,ORD_000465,PAY_000013,upi,226200,0,0,226200,STL_0002,2026-06-02T07:59:49,2026-06-04,
ENT_000014,payment,ORD_000121,PAY_000014,netbanking,171100,3251,585,167264,STL_0002,2026-06-02T08:15:37,2026-06-04,
ENT_000015,payment,ORD_000459,PAY_000015,upi,16510000,0,0,16510000,STL_0002,2026-06-02T09:02:15,2026-06-04,
ENT_000016,payment,ORD_000032,PAY_000016,upi,79300,0,0,79300,STL_0002,2026-06-02T09:17:19,2026-06-04,
ENT_000017,payment,ORD_000008,PAY_000017,upi,12102400,0,0,12102400,STL_0002,2026-06-02T09:27:31,2026-06-04,
ENT_000018,payment,ORD_000251,PAY_000018,netbanking,114900,2183,393,112324,STL_0002,2026-06-02T11:04:13,2026-06-04,
ENT_000019,payment,ORD_000143,PAY_000019,card,385400,7708,1387,376305,STL_0002,2026-06-02T13:56:45,2026-06-04,
ENT_000020,payment,ORD_000276,PAY_000020,wallet,3540200,70805,12745,3456650,STL_0002,2026-06-02T13:57:52,2026-06-04,
ENT_000021,payment,ORD_000454,PAY_000021,upi,42100,0,0,42100,STL_0002,2026-06-02T14:59:54,2026-06-04,
ENT_000022,payment,ORD_000363,PAY_000022,netbanking,98700,1875,338,96487,STL_0002,2026-06-02T16:49:15,2026-06-04,
ENT_000023,payment,ORD_000468,PAY_000023,upi,63300,0,0,63300,STL_0002,2026-06-02T17:11:20,2026-06-04,
ENT_000024,payment,ORD_000128,PAY_000024,upi,558300,0,0,558300,STL_0002,2026-06-02T20:55:47,2026-06-04,
ENT_000025,payment,ORD_000415,PAY_000025,upi,1370000,0,0,1370000,STL_0002,2026-06-02T20:57:10,2026-06-04,
ENT_000026,payment,ORD_000479,PAY_000026,upi,90700,0,0,90700,STL_0002,2026-06-02T21:04:58,2026-06-04,
ENT_000027,payment,ORD_000108,PAY_000027,upi,35700,0,0,35700,STL_0002,2026-06-02T21:16:42,2026-06-04,
ENT_000028,payment,ORD_000445,PAY_000028,card,664900,13298,2394,649208,STL_0002,2026-06-02T23:02:13,2026-06-04,
ENT_000029,payment,ORD_000230,PAY_000029,card,3091000,61820,11128,3018052,STL_0003,2026-06-03T06:37:39,2026-06-05,
ENT_000030,payment,ORD_000449,PAY_000030,upi,648700,0,0,648700,STL_0003,2026-06-03T07:24:05,2026-06-05,
ENT_000031,payment,ORD_000343,PAY_000031,upi,87100,0,0,87100,STL_0003,2026-06-03T08:02:06,2026-06-05,
ENT_000516,rolling_reserve_hold,,,,0,0,0,-372918,STL_0001,2026-06-03T08:53:17,2026-06-03,Rolling reserve hold
ENT_000032,payment,ORD_000064,PAY_000032,card,693400,13868,2496,677036,STL_0003,2026-06-03T10:01:37,2026-06-05,
ENT_000033,payment,ORD_000183,PAY_000033,card,455200,9082,1639,444479,STL_0003,2026-06-03T10:36:18,2026-06-05,
ENT_000517,settlement,,,,0,0,0,-8390968,STL_0001,2026-06-03T10:57:34,2026-06-03,Settlement payout UTR HDFCN26060300001
ENT_000034,payment,ORD_000355,PAY_000034,upi,487800,0,0,487800,STL_0003,2026-06-03T11:01:17,2026-06-05,
