link_type,order_id,entry_id,settlement_id,line_id
order_entry,ORD_000152,ENT_000001,,
entry_settlement,,ENT_000001,STL_0001,
order_entry,ORD_000085,ENT_000002,,
entry_settlement,,ENT_000002,STL_0001,
order_entry,ORD_000109,ENT_000003,,
entry_settlement,,ENT_000003,STL_0001,
order_entry,ORD_000270,ENT_000004,,
entry_settlement,,ENT_000004,STL_0001,
order_entry,ORD_000350,ENT_000005,,
entry_settlement,,ENT_000005,STL_0001,
order_entry,ORD_000173,ENT_000006,,
entry_settlement,,ENT_000006,STL_0001,
order_entry,ORD_000220,ENT_000007,,
entry_settlement,,ENT_000007,STL_0001,
order_entry,ORD_000440,ENT_000008,,
entry_settlement,,ENT_000008,STL_0001,
order_entry,ORD_000370,ENT_000009,,
entry_settlement,,ENT_000009,STL_0001,
order_entry,ORD_000376,ENT_000010,,
entry_settlement,,ENT_000010,STL_0002,
order_entry,ORD_000491,ENT_000011,,
entry_settlement,,ENT_000011,STL_0002,
order_entry,ORD_000080,ENT_000012,,
entry_settlement,,ENT_000012,STL_0002,
order_entry,ORD_000465,ENT_000013,,
entry_settlement,,ENT_000013,STL_0002,
order_entry,ORD_000121,ENT_000014,,
entry_settlement,,ENT_000014,STL_0002,
order_entry,ORD_000459,ENT_000015,,
entry_settlement,,ENT_000015,STL_0002,
order_entry,ORD_000032,ENT_000016,,
entry_settlement,,ENT_000016,STL_0002,
order_entry,ORD_000008,ENT_000017,,
entry_settlement,,ENT_000017,STL_0002,
order_entry,ORD_000251,ENT_000018,,
entry_settlement,,ENT_000018,STL_0002,
order_entry,ORD_000143,ENT_000019,,
entry_settlement,,ENT_000019,STL_0002,
order_entry,ORD_000276,ENT_000020,,
entry_settlement,,ENT_000020,STL_0002,
order_entry,ORD_000454,ENT_000021,,
entry_settlement,,ENT_000021,STL_0002,
order_entry,ORD_000363,ENT_000022,,
entry_settlement,,ENT_000022,STL_0002,
order_entry,ORD_000468,ENT_000023,,
entry_settlement,,ENT_000023,STL_0002,
order_entry,ORD_000128,ENT_000024,,
entry_settlement,,ENT_000024,STL_0002,
order_entry,ORD_000415,ENT_000025,,
entry_settlement,,ENT_000025,STL_0002,
order_entry,ORD_000479,ENT_000026,,
entry_settlement,,ENT_000026,STL_0002,
order_entry,ORD_000108,ENT_000027,,
entry_settlement,,ENT_000027,STL_0002,
order_entry,ORD_000445,ENT_000028,,
entry_settlement,,ENT_000028,STL_0002,
order_entry,ORD_000230,ENT_000029,,
entry_settlement,,ENT_000029,STL_0003,
order_entry,ORD_000449,ENT_000030,,
entry_settlement,,ENT_000030,STL_0003,
order_entry,ORD_000343,ENT_000031,,
entry_settlement,,ENT_000031,STL_0003,
order_entry,ORD_000064,ENT_000032,,
entry_settlement,,ENT_000032,STL_0003,
order_entry,ORD_000183,ENT_000033,,
entry_settlement,,ENT_000033,STL_0003,
order_entry,ORD_000355,ENT_000034,,
entry_settlement,,ENT_000034,STL_0003,
order_entry,ORD_000013,ENT_000035,,
entry_settlement,,ENT_000035,STL_0003,
order_entry,ORD_000007,ENT_000036,,
entry_settlement,,ENT_000036,STL_0003,
order_entry,ORD_000040,ENT_000037,,
entry_settlement,,ENT_000037,STL_0003,
order_entry,ORD_000434,ENT_000038,,
entry_settlement,,ENT_000038,STL_0003,
order_entry,ORD_000035,ENT_000039,,
entry_settlement,,ENT_000039,STL_0003,
order_entry,ORD_000147,ENT_000040,,
entry_settlement,,ENT_000040,STL_0003,
order_entry,ORD_000289,ENT_000041,,
entry_settlement,,ENT_000041,STL_0004,
